id,call_time,pct,street_add,street_name,date,Incident ID,Call Time,Precinct,Nearest Intersection,street1,street2
202402800185.0,2024-01-28 00:51:07,2.0,13836 ALLONBY ST, ALLONBY ST,2024-01-28,202402704244,2024-01-28 01:02:21,2.0,Midland St & Ardmore St,MIDLAND ST,ARDMORE ST
202402800891.0,2024-01-28 04:22:31,2.0,12879 STRATHMOOR ST, STRATHMOOR ST,2024-01-28,202402704244,2024-01-28 01:02:21,2.0,Midland St & Ardmore St,MIDLAND ST,ARDMORE ST
202402804422.0,2024-01-28 23:18:01,2.0,6374 MAJESTIC ST, MAJESTIC ST,2024-01-28,202402704244,2024-01-28 01:02:21,2.0,Midland St & Ardmore St,MIDLAND ST,ARDMORE ST
202402804588.0,2024-01-28 23:56:01,2.0,15298 WARD ST, WARD ST,2024-01-28,202402704244,2024-01-28 01:02:21,2.0,Midland St & Ardmore St,MIDLAND ST,ARDMORE ST
202402800504.0,2024-01-28 02:16:07,12.0,17923 JOHN R ST, JOHN R ST,2024-01-28,202402801216,2024-01-28 12:01:29,12.0,La Salle Ave & W McNichols Rd,LA SALLE AVE,W MCNICHOLS RD
202402800514.0,2024-01-28 02:19:12,12.0,18 W MONTANA ST, W MONTANA ST,2024-01-28,202402801216,2024-01-28 12:01:29,12.0,La Salle Ave & W McNichols Rd,LA SALLE AVE,W MCNICHOLS RD
202402800541.0,2024-01-28 02:30:11,12.0,13 W MONTANA ST, W MONTANA ST,2024-01-28,202402801216,2024-01-28 12:01:29,12.0,La Salle Ave & W McNichols Rd,LA SALLE AVE,W MCNICHOLS RD
202402802153.0,2024-01-28 12:12:42,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402801216,2024-01-28 12:01:29,12.0,La Salle Ave & W McNichols Rd,LA SALLE AVE,W MCNICHOLS RD
202402802155.0,2024-01-28 12:13:07,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402801216,2024-01-28 12:01:29,12.0,La Salle Ave & W McNichols Rd,LA SALLE AVE,W MCNICHOLS RD
,,,,,2024-01-27,202402703797,2024-01-27 23:19:12,5.0,Frankfort St & Somerset Ave,FRANKFORT ST,SOMERSET AVE
202402600506.0,2024-01-26 02:36:41,9.0,9955 BALFOUR RD, BALFOUR RD,2024-01-26,202402602597,2024-01-26 17:29:53,9.0,Riad St & Morang Dr,RIAD ST,MORANG DR
